Bloomberg Corporate Action Calendar - CACT<GO>,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Action Type,Security ID,Announce/Declared Date,Effective Date,Amd Flag,Summary,Summary,Summary,Summary,Summary,Summary
Spin-off,0Y2S LI Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,0Y2SL S2 Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,0Y2SL PO Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,0Y2SL L3 Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,2IS TH Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,0Y2SL B3 Equity,4/30/2019,3/2/2020,Y,Name: Trane Technologies PLC, Spun-Off Company Name: Ingersoll-Rand US Holdco Inc, Spun-Off Company Ticker: 1714016D US Equity, Terms: .8824  : 1, Record Date: 2020/02/24, Pay Date: 2020/02/29
Spin-off,HWM US Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNC SW Equity,12/17/2019,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCCHF EU Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
Spin-off,ARNCGBP EO Equity,10/30/2024,4/1/2020,Y,Name: Howmet Aerospace Inc, Spun-Off Company Name: Arconic Corp, Spun-Off Company Ticker: ARNC US Equity, Terms:  1 per 4, Record Date: 2020/03/19, Pay Date: 2020/04/01
